_MEMBER_Input ID,_LogP_Input ID,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.177686984469918,M5911,M1,1,0,Hallmark Gene Sets,23,HALLMARK INTERFERON ALPHA RESPONSE,-4.177686984469918,11.848306332842414,7.076704483942647,24135,97,105,5,4.761904761904762,2.078265621295165,961|2766|3627|6373|9246,CD47|GMPR|CXCL10|CXCL11|UBE2L6,0.0,0,1,1,1,-4.177686984469918,11.848306332842414,
1,-2.580206969617445,GO:0048247,M1,1,0,GO Biological Processes,19,lymphocyte chemotaxis,-2.580206969617445,10.945578231292517,5.2248838874277785,24135,63,105,3,2.857142857142857,1.6258361084396906,2621|3627|6373,GAS6|CXCL10|CXCL11,0.0,0,1,0,0,-4.177686984469918,11.848306332842414,
1,-2.243100123209836,GO:0006935,M1,1,0,GO Biological Processes,19,chemotaxis,-2.243100123209836,2.9658986175115203,3.278059927420903,24135,620,105,8,7.619047619047619,2.5890885972875193,2621|3627|5588|6373|7074|9846|10928|55816,GAS6|CXCL10|PRKCQ|CXCL11|TIAM1|GAB2|RALBP1|DOK5,0.0,0,1,0,0,-4.177686984469918,11.848306332842414,
1,-2.234919975932132,GO:0042330,M1,1,0,GO Biological Processes,19,taxis,-2.234919975932132,2.956361966008268,3.267554197617496,24135,622,105,8,7.619047619047619,2.5890885972875193,2621|3627|5588|6373|7074|9846|10928|55816,GAS6|CXCL10|PRKCQ|CXCL11|TIAM1|GAB2|RALBP1|DOK5,0.0,0,1,0,0,-4.177686984469918,11.848306332842414,
1,-2.0191751671747635,GO:0060326,M1,1,0,GO Biological Processes,19,cell chemotaxis,-2.0191751671747635,3.8827220077220077,3.2986559480882107,24135,296,105,5,4.761904761904762,2.078265621295165,2621|3627|5588|6373|7074,GAS6|CXCL10|PRKCQ|CXCL11|TIAM1,0.0,0,1,0,0,-4.177686984469918,11.848306332842414,
1,-3.5486695995655064,GO:0032635,M1,1,0,GO Biological Processes,19,interleukin-6 production,-3.5486695995655064,8.706709956709956,5.868885490052104,24135,132,105,5,4.761904761904762,2.078265621295165,961|2621|3556|3952|9655,CD47|GAS6|IL1RAP|LEP|SOCS5,0.0,0,2,1,1,-3.5486695995655064,19.70204081632653,
1,-3.3249203192609285,GO:0072604,M1,1,0,GO Biological Processes,19,interleukin-6 secretion,-3.3249203192609285,19.70204081632653,7.318918645267688,24135,35,105,3,2.857142857142857,1.6258361084396906,2621|3556|3952,GAS6|IL1RAP|LEP,0.0,0,2,0,0,-3.5486695995655064,19.70204081632653,
1,-3.2063879965647755,GO:0033273,M1,1,0,GO Biological Processes,19,response to vitamin,-3.2063879965647755,10.330658105939003,5.829325101019049,24135,89,105,4,3.8095238095238093,1.86812844795725,2621|3627|3952|4255,GAS6|CXCL10|LEP|MGMT,0.0,0,2,0,0,-3.5486695995655064,19.70204081632653,
1,-2.6850089356292908,GO:0032675,M1,1,0,GO Biological Processes,19,regulation of interleukin-6 production,-2.6850089356292908,7.475029036004645,4.7589651775356465,24135,123,105,4,3.8095238095238093,1.86812844795725,961|2621|3556|9655,CD47|GAS6|IL1RAP|SOCS5,0.0,0,2,0,0,-3.5486695995655064,19.70204081632653,
1,-2.5112761129661023,GO:0010469,M1,1,0,GO Biological Processes,19,regulation of signaling receptor activity,-2.5112761129661023,3.2895476616406847,3.6203699338445348,24135,559,105,8,7.619047619047619,2.5890885972875193,152|306|2621|3627|3952|6373|8838|9655,ADRA2C|ANXA3|GAS6|CXCL10|LEP|CXCL11|CCN6|SOCS5,0.0,0,2,0,0,-3.5486695995655064,19.70204081632653,
