_MEMBER_Input ID,_LogP_Input ID,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.788454658580754,R-HSA-8957322,M1,1,0,Reactome Gene Sets,6,Metabolism of steroids,-4.788454658580754,11.225581395348838,7.512407659483194,24135,150,86,6,6.976744186046512,2.747090340551713,706|4800|6319|6721|9885|79644,TSPO|NFYA|SCD|SREBF2|OSBPL2|SRD5A3,-0.5099754355344317,0,1,1,1,-4.788454658580754,20.045681063122924,
1,-4.174680075744515,GO:0006694,M1,1,0,GO Biological Processes,19,steroid biosynthetic process,-4.174680075744515,8.724545125918786,6.442979129183867,24135,193,86,6,6.976744186046512,2.747090340551713,706|4800|6319|6721|9885|79644,TSPO|NFYA|SCD|SREBF2|OSBPL2|SRD5A3,-0.2524198415660889,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.8465991930605106,GO:0008202,M1,1,0,GO Biological Processes,19,steroid metabolic process,-3.8465991930605106,6.177599824484424,5.55794034656026,24135,318,86,7,8.13953488372093,2.9485933979015555,706|4800|6319|6721|6820|9885|79644,TSPO|NFYA|SCD|SREBF2|SULT2B1|OSBPL2|SRD5A3,-0.2524198415660889,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.6472980627018794,GO:0008610,M1,1,0,GO Biological Processes,19,lipid biosynthetic process,-3.6472980627018794,3.9305256986515538,4.753432067544284,24135,714,86,10,11.627906976744185,3.456679541649496,706|4800|6319|6721|9885|10809|79152|79644|84002|130367,TSPO|NFYA|SCD|SREBF2|OSBPL2|STARD10|FA2H|SRD5A3|B3GNT5|SGPP2,-0.2524198415660889,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.607240765191601,GO:0006066,M1,1,0,GO Biological Processes,19,alcohol metabolic process,-3.607240765191601,5.645048115477146,5.219457567961135,24135,348,86,7,8.13953488372093,2.9485933979015555,4800|6319|6721|6820|79644|130367|222236,NFYA|SCD|SREBF2|SULT2B1|SRD5A3|SGPP2|NAPEPLD,-0.2524198415660889,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.554853304385849,GO:0062012,M1,1,0,GO Biological Processes,19,regulation of small molecule metabolic process,-3.554853304385849,5.533737307566329,5.146120754633753,24135,355,86,7,8.13953488372093,2.9485933979015555,706|1728|3170|4800|6319|6721|7033,TSPO|NQO1|FOXA2|NFYA|SCD|SREBF2|TFF3,-0.2524198415660889,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.4987547546792164,GO:0050810,M1,1,0,GO Biological Processes,19,regulation of steroid biosynthetic process,-3.4987547546792164,12.335803731152566,6.478657527903452,24135,91,86,4,4.651162790697675,2.270854167140835,706|4800|6319|6721,TSPO|NFYA|SCD|SREBF2,-0.2524198415660889,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.3433799031079734,R-HSA-2426168,M1,1,0,Reactome Gene Sets,6,Activation of gene expression by SREBF (SREBP),-3.3433799031079734,20.045681063122924,7.387390914269216,24135,42,86,3,3.488372093023256,1.978572628104759,4800|6319|6721,NFYA|SCD|SREBF2,-0.20157504354547937,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.3039630075361206,GO:1901615,M1,1,0,GO Biological Processes,19,organic hydroxy compound metabolic process,-3.3039630075361206,4.367930504026784,4.615416621520057,24135,514,86,8,9.30232558139535,3.1321648968242854,4800|6319|6721|6820|9885|79644|130367|222236,NFYA|SCD|SREBF2|SULT2B1|OSBPL2|SRD5A3|SGPP2|NAPEPLD,-0.20157504354547937,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.119985424635873,GO:0045540,M1,1,0,GO Biological Processes,19,regulation of cholesterol biosynthetic process,-3.119985424635873,16.838372093023256,6.704055286986475,24135,50,86,3,3.488372093023256,1.978572628104759,4800|6319|6721,NFYA|SCD|SREBF2,-0.135424076332161,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.119985424635873,GO:0106118,M1,1,0,GO Biological Processes,19,regulation of sterol biosynthetic process,-3.119985424635873,16.838372093023256,6.704055286986475,24135,50,86,3,3.488372093023256,1.978572628104759,4800|6319|6721,NFYA|SCD|SREBF2,-0.135424076332161,0,1,0,0,-4.788454658580754,20.045681063122924,
1,-3.0586634214014583,GO:0019218,M1,1,0,GO Biological Processes,19,regulation of steroid metabolic process,-3.0586634214014583,9.433261676763728,5.514854873284322,24135,119,86,4,4.651162790697675,2.270854167140835,706|4800|6319|6721,TSPO|NFYA|SCD|SREBF2,-0.135424076332161,0,1,0,0,-4.788454658580754,20.045681063122924,
