cancerType	TF.ChIPseq	totalTFBS	totalSamples	bmr	activeTFBS	nSNVs	nSamples	pvalue.poibin	pvalue.binom	pvalue.pois	expVal.poibin	expVal.binom	expVal.pois	sigVal.poibin	sigVal.binom	sigVal.pois
Liver-HCC	GSE72082.GABPA.MCF7	264736	324	0.163827634570159	83404	26	26	0.999998198410161	0.999996705148469	0.999986047043791	53	53	53	64	64	65
Liver-HCC	ERP000380.CTCF.MCF7	10140056	324	0.916671140314104	1627822	1078	278	0.999967785036356	0.999848060649755	0.871715346221224	297	297	297	304	305	326
Liver-HCC	ERP000209.STAG1.MCF7_E2	17027359	324	0.987811697522057	4009464	2747	314	0.999160673256708	0.997597574850372	0.639862192836514	320	320	320	323	323	350
Liver-HCC	ERP000209.RAD21.MCF7	13776726	324	0.949704231349762	2116779	1633	305	0.816563733957977	0.796206830653157	0.568854742905001	308	308	308	313	314	337
Liver-HCC	GSE54027.HOXC11.MCF7_LY2_TAMOXIFEN	17441	324	0.00485456595350692	2182	1	1	0.793732225347467	0.793346043711458	0.792552994878639	1	1	1	4	4	4
Liver-HCC	GSE54027.HOXC11.MCF7_LY2	1185	324	0	0	0	0	1	1	1	0	0	0	0	0	0
Liver-HCC	GSE54693.MBD2.MCF7	46115	324	0.00261408281499194	1173	0	0	1	1	1	1	1	1	3	3	3
Liver-HCC	GSE45852.HSF1.MCF7_CHX_10UM	518860	324	0.405672216186127	257945	232	149	0.0212333891470436	0.0272864979527321	0.0705205851015434	131	131	131	145	146	151
Liver-HCC	GSE38901.HSF1.MCF7	419631	324	0.265835022996225	147738	122	97	0.0881139113925786	0.0971875650656338	0.13272712080008	86	86	86	99	99	102
Liver-HCC	GSE72082.RAD21.MCF7	16990222	324	0.943620312970166	1999514	1721	305	0.637505814455823	0.629043180924869	0.524328803819537	306	306	306	312	312	335
Liver-HCC	GSE60270.ESR1.MCF7	1198415	324	0.124359856550064	61309	54	45	0.231077164117899	0.236106806247522	0.248994975736696	40	40	40	50	50	51
Liver-HCC	GSE47027.NR5A2.MCF7	1572469	324	0.298427474760357	170847	181	125	0.00027208576058535	0.000474826357998892	0.00323586923052677	97	97	97	110	110	113
Liver-HCC	GSE14664.ESR1.MCF7_E2	8359130	324	0.793104550799773	907228	781	260	0.356296208510064	0.368581373985262	0.43320867351034	257	257	257	268	269	284
Liver-HCC	GSE45822.ESR1.MCF7	9488079	324	0.672614887965344	603891	452	226	0.167057238485467	0.1853422809039	0.301085347704077	218	218	218	231	232	242
Liver-HCC	ENCSR000EWX.E2F1.MCF7	20812334	324	0.998870365595067	9720619	6378	323	0.952752836473552	0.94741546348085	0.521452376909942	324	324	323	324	324	354
Liver-HCC	ENCSR000BUM.SIN3A.MCF7	17719276	324	0.996702878117606	6744730	4846	322	0.917886966285625	0.90702488869526	0.528080771356128	323	323	323	324	324	353
Liver-HCC	ENCSR000BUL.MAX.MCF7	18820112	324	0.998395895814951	8685894	5687	323	0.910211941639009	0.903874088996656	0.518048356737789	324	324	323	324	324	353
Liver-HCC	ENCSR000BUZ.PML.MCF7	3545504	324	0.972852212455822	2830057	1900	301	0.999998955696538	0.999988039949547	0.795404121032843	315	315	315	319	320	345
Liver-HCC	ENCSR000DMQ.MYC.MCF7	13339902	324	0.997322447248833	7277197	4507	319	0.999930203383745	0.999726254659284	0.598330000645843	323	323	323	324	324	353
Liver-HCC	GSE78113.CTCF.MCF7_NORMOXIA	19994890	324	0.979429545942286	3202222	1950	312	0.98977252219021	0.981937010728221	0.625207267550264	317	317	317	321	321	347
Liver-HCC	ERP000901.CREBBP.MCF7	15399185	324	0.98538862672473	3713024	2965	322	0.123457407389096	0.146934019253619	0.446619254039471	319	319	319	322	322	349
Liver-HCC	ENCSR000DMO.CTCF.MCF7	23529664	324	0.995819842394051	6168675	3377	312	0.999999999994849	0.999999998055501	0.730652724748103	323	323	322	324	324	352
Liver-HCC	ENCSR000DMJ.MYC.MCF7	30136040	324	0.99658499697205	6657328	3602	319	0.999676624985363	0.999033103963939	0.593191037082865	323	323	323	324	324	353
Liver-HCC	ENCSR000DMM.MYC.MCF7	22494984	324	0.998878160011258	9741564	5270	319	0.999999799701695	0.999997746438065	0.609106240877333	324	324	323	324	324	354
Liver-HCC	GSE76454.ZNF143.MCF7	22060336	324	0.997912737949053	7945470	4940	323	0.858391910431848	0.852515949705071	0.514579544959027	323	324	323	324	324	353
Liver-HCC	GSE76454.ZNF143.MCF7_E2	18886140	324	0.997472000986594	7428493	4607	320	0.999374359048109	0.998469864261785	0.577637547908489	323	323	323	324	324	353
Liver-HCC	ERP000209.STAG1.MCF7_E2_SHCTCF	14398348	324	0.988455057737365	4101793	3140	319	0.842416277536274	0.825316120522853	0.535491153066789	320	320	320	323	323	350
Liver-HCC	ERP000209.STAG1.MCF7	18703130	324	0.985964406328034	3777152	2870	316	0.971687213724773	0.958667855773598	0.58404381605367	320	320	319	322	323	349
Liver-HCC	ERP000209.STAG1.MCF7_E2_SHCTR	16979276	324	0.960809110309824	2388190	1875	305	0.97937277037281	0.967886569009574	0.647083997793807	311	311	311	316	317	341
Liver-HCC	ENCSR000AHF.TAF1.MCF7	1789392	324	0.920804932129032	1673813	1198	279	0.999982720905509	0.999907806777637	0.87534454470454	298	298	298	305	306	327
Liver-HCC	GSE60270.MED1.MCF7_SHRARS_E2	13190631	324	0.997598705269534	7565362	4248	320	0.999519957231679	0.998776968359895	0.578529467866008	323	323	323	324	324	353
Liver-HCC	GSE78113.CTCF.MCF7_HYPOXIA	17949961	324	0.965882680029932	2548755	1635	304	0.998272294885333	0.995785757945251	0.700976935346322	313	313	313	318	318	342
Liver-HCC	ENCSR000BVA.SRF.MCF7	2625421	324	0.904789555487833	1510510	1217	283	0.983872356972078	0.974377687608415	0.731102913471192	293	293	293	301	302	322
