_MEMBER_hits,_LogP_hits,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.2690325447,M5930,M1,1,0,Hallmark Gene Sets,23,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-6.2690325447,7.0260989011,7.60236382204,23250,200,182,11,6.04395604396,1.76639292191,388|1296|2199|2817|3915|4232|4837|5021|6696|8076|25878,RHOB|COL8A2|FBLN2|GPC1|LAMC1|MEST|NNMT|OXTR|SPP1|MFAP5|MXRA5,-1.99443600244,0,1,1,1,-6.2690325447,10.0853094274,
1,-3.47972185491,M5884,M1,1,0,Canonical Pathways,11,NABA CORE MATRISOME,-3.47972185491,4.18081918082,4.71314097158,23250,275,182,9,4.94505494505,1.60707899328,1296|2199|3915|4240|6696|8076|25878|145864|169044,COL8A2|FBLN2|LAMC1|MFGE8|SPP1|MFAP5|MXRA5|HAPLN3|COL22A1,-0.585336554364,0,1,0,0,-6.2690325447,10.0853094274,
1,-2.89797602209,GO:0043062,M1,1,0,GO Biological Processes,19,extracellular structure organization,-2.89797602209,3.19368131868,3.93091173038,23250,400,182,10,5.49450549451,1.68910692122,655|1296|2199|3915|5650|6696|8076|11005|25818|169044,BMP7|COL8A2|FBLN2|LAMC1|KLK7|SPP1|MFAP5|SPINK5|KLK5|COL22A1,-0.322349484167,0,1,0,0,-6.2690325447,10.0853094274,
1,-2.75768916087,GO:0030198,M1,1,0,GO Biological Processes,19,extracellular matrix organization,-2.75768916087,3.3038082607,3.84620217807,23250,348,182,9,4.94505494505,1.60707899328,1296|2199|3915|5650|6696|8076|11005|25818|169044,COL8A2|FBLN2|LAMC1|KLK7|SPP1|MFAP5|SPINK5|KLK5|COL22A1,-0.238967474283,0,1,0,0,-6.2690325447,10.0853094274,
1,-2.57839237095,R-HSA-1474244,M1,1,0,Reactome Gene Sets,6,Extracellular matrix organization,-2.57839237095,3.39527582052,3.71526466245,23250,301,182,8,4.3956043956,1.51954139546,655|1296|2199|3915|5650|6696|8076|169044,BMP7|COL8A2|FBLN2|LAMC1|KLK7|SPP1|MFAP5|COL22A1,-0.169671201149,0,1,0,0,-6.2690325447,10.0853094274,
1,-2.48755011975,R-HSA-2129379,M1,1,0,Reactome Gene Sets,6,Molecules associated with elastic fibres,-2.48755011975,10.0853094274,4.97860994254,23250,38,182,3,1.64835164835,0.943800190947,655|2199|8076,BMP7|FBLN2|MFAP5,-0.144064984627,0,1,0,0,-6.2690325447,10.0853094274,
1,-2.34296435421,M3008,M1,1,0,Canonical Pathways,11,NABA ECM GLYCOPROTEINS,-2.34296435421,3.91063018614,3.63475198108,23250,196,182,6,3.2967032967,1.32350283867,2199|3915|4240|6696|8076|25878,FBLN2|LAMC1|MFGE8|SPP1|MFAP5|MXRA5,-0.041236625393,0,1,0,0,-6.2690325447,10.0853094274,
1,-2.27906754362,R-HSA-1566948,M1,1,0,Reactome Gene Sets,6,Elastic fibre formation,-2.27906754362,8.51648351648,4.48294119309,23250,45,182,3,1.64835164835,0.943800190947,655|2199|8076,BMP7|FBLN2|MFAP5,-0.023231505704,0,1,0,0,-6.2690325447,10.0853094274,
1,-5.72664566625,GO:0002784,M1,1,0,GO Biological Processes,19,regulation of antimicrobial peptide production,-5.72664566625,95.8104395604,16.8439871098,23250,4,182,3,1.64835164835,0.943800190947,5650|11005|25818,KLK7|SPINK5|KLK5,-1.92917037872,0,2,1,1,-5.72664566625,95.8104395604,
1,-5.72664566625,GO:0002786,M1,1,0,GO Biological Processes,19,regulation of antibacterial peptide production,-5.72664566625,95.8104395604,16.8439871098,23250,4,182,3,1.64835164835,0.943800190947,5650|11005|25818,KLK7|SPINK5|KLK5,-1.92917037872,0,2,0,0,-5.72664566625,95.8104395604,
